2019-04-02 13:32:36 status unpacked libsnappy1v5:amd64 1.1.7-1
2019-04-02 13:32:36 status unpacked libsnappy1v5:amd64 1.1.7-1
2019-04-02 13:32:37 install libsoxr0:amd64 <none> 0.1.2-3
2019-04-02 13:32:37 status half-installed libsoxr0:amd64 0.1.2-3
2019-04-02 13:32:39 status unpacked libsoxr0:amd64 0.1.2-3
2019-04-02 13:32:40 status unpacked libsoxr0:amd64 0.1.2-3
2019-04-02 13:32:42 install libswresample2:amd64 <none> 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:42 status half-installed libswresample2:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:44 status unpacked libswresample2:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:44 status unpacked libswresample2:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:45 install libx264-152:amd64 <none> 2:0.152.2854+gite9a5903-2
2019-04-02 13:32:45 status half-installed libx264-152:amd64 2:0.152.2854+gite9a5903-2
2019-04-02 13:32:45 status unpacked libx264-152:amd64 2:0.152.2854+gite9a5903-2
2019-04-02 13:32:45 status unpacked libx264-152:amd64 2:0.152.2854+gite9a5903-2
2019-04-02 13:32:46 install libx265-146:amd64 <none> 2.6-3
2019-04-02 13:32:46 status half-installed libx265-146:amd64 2.6-3
2019-04-02 13:32:47 status unpacked libx265-146:amd64 2.6-3
2019-04-02 13:32:47 status unpacked libx265-146:amd64 2.6-3
2019-04-02 13:32:47 install libxvidcore4:amd64 <none> 2:1.3.5-1
2019-04-02 13:32:47 status half-installed libxvidcore4:amd64 2:1.3.5-1
2019-04-02 13:32:48 status unpacked libxvidcore4:amd64 2:1.3.5-1
2019-04-02 13:32:48 status unpacked libxvidcore4:amd64 2:1.3.5-1
2019-04-02 13:32:49 install libzvbi-common:all <none> 0.2.35-13
2019-04-02 13:32:49 status half-installed libzvbi-common:all 0.2.35-13
2019-04-02 13:32:50 status unpacked libzvbi-common:all 0.2.35-13
2019-04-02 13:32:50 status unpacked libzvbi-common:all 0.2.35-13
2019-04-02 13:32:50 install libzvbi0:amd64 <none> 0.2.35-13
2019-04-02 13:32:50 status half-installed libzvbi0:amd64 0.2.35-13
2019-04-02 13:32:51 status unpacked libzvbi0:amd64 0.2.35-13
2019-04-02 13:32:51 status unpacked libzvbi0:amd64 0.2.35-13
2019-04-02 13:32:52 install libavcodec57:amd64 <none> 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:52 status half-installed libavcodec57:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:53 status unpacked libavcodec57:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:53 status unpacked libavcodec57:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:54 install libavutil-dev:amd64 <none> 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:54 status half-installed libavutil-dev:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:54 status unpacked libavutil-dev:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:54 status unpacked libavutil-dev:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:55 install libswresample-dev:amd64 <none> 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:55 status half-installed libswresample-dev:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:56 status unpacked libswresample-dev:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:56 status unpacked libswresample-dev:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:56 install libavcodec-dev:amd64 <none> 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:56 status half-installed libavcodec-dev:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:59 status unpacked libavcodec-dev:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:59 status unpacked libavcodec-dev:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:32:59 install libbluray2:amd64 <none> 1:1.0.2-3
2019-04-02 13:32:59 status half-installed libbluray2:amd64 1:1.0.2-3
2019-04-02 13:33:00 status unpacked libbluray2:amd64 1:1.0.2-3
2019-04-02 13:33:00 status unpacked libbluray2:amd64 1:1.0.2-3
2019-04-02 13:33:01 install libchromaprint1:amd64 <none> 1.4.3-1
2019-04-02 13:33:01 status half-installed libchromaprint1:amd64 1.4.3-1
2019-04-02 13:33:01 status unpacked libchromaprint1:amd64 1.4.3-1
2019-04-02 13:33:01 status unpacked libchromaprint1:amd64 1.4.3-1
2019-04-02 13:33:02 install libgme0:amd64 <none> 0.6.2-1
2019-04-02 13:33:02 status half-installed libgme0:amd64 0.6.2-1
2019-04-02 13:33:03 status unpacked libgme0:amd64 0.6.2-1
2019-04-02 13:33:03 status unpacked libgme0:amd64 0.6.2-1
2019-04-02 13:33:04 install libopenmpt0:amd64 <none> 0.3.6-1
2019-04-02 13:33:04 status half-installed libopenmpt0:amd64 0.3.6-1
2019-04-02 13:33:04 status unpacked libopenmpt0:amd64 0.3.6-1
2019-04-02 13:33:04 status unpacked libopenmpt0:amd64 0.3.6-1
2019-04-02 13:33:05 install libssh-gcrypt-4:amd64 <none> 0.8.0~20170825.94fa1e38-1ubuntu0.2
2019-04-02 13:33:05 status half-installed libssh-gcrypt-4:amd64 0.8.0~20170825.94fa1e38-1ubuntu0.2
2019-04-02 13:33:06 status unpacked libssh-gcrypt-4:amd64 0.8.0~20170825.94fa1e38-1ubuntu0.2
2019-04-02 13:33:06 status unpacked libssh-gcrypt-4:amd64 0.8.0~20170825.94fa1e38-1ubuntu0.2
2019-04-02 13:33:06 install libavformat57:amd64 <none> 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:33:06 status half-installed libavformat57:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:33:07 status unpacked libavformat57:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:33:07 status unpacked libavformat57:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:33:08 install libavformat-dev:amd64 <none> 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:33:08 status half-installed libavformat-dev:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:33:10 status unpacked libavformat-dev:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:33:10 status unpacked libavformat-dev:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:33:12 install libavresample3:amd64 <none> 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:33:12 status half-installed libavresample3:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:33:12 status unpacked libavresample3:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:33:12 status unpacked libavresample3:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:33:12 install libavresample-dev:amd64 <none> 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:33:12 status half-installed libavresample-dev:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:33:13 status unpacked libavresample-dev:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:33:13 status unpacked libavresample-dev:amd64 7:3.4.4-0ubuntu0.18.04.1
2019-04-02 13:33:13 install libb64-0d:amd64 <none> 1.2-4
2019-04-02 13:33:13 status half-installed libb64-0d:amd64 1.2-4
2019-04-02 13:33:14 status unpacked libb64-0d:amd64 1.2-4
2019-04-02 13:33:14 status unpacked libb64-0d:amd64 1.2-4
2019-04-02 13:33:14 install libb64-dev:amd64 <none> 1.2-4
2019-04-02 13:33:14 status half-installed libb64-dev:amd64 1.2-4
2019-04-02 13:33:15 status unpacked libb64-dev:amd64 1.2-4
2019-04-02 13:33:15 status unpacked libb64-dev:amd64 1.2-4
2019-04-02 13:33:15 install libbdplus0:amd64 <none> 0.1.2-2
2019-04-02 13:33:15 status half-installed libbdplus0:amd64 0.1.2-2
2019-04-02 13:33:16 status unpacked libbdplus0:amd64 0.1.2-2
2019-04-02 13:33:16 status unpacked libbdplus0:amd64 0.1.2-2
2019-04-02 13:33:17 install python-gencpp:all <none> 0.5.5-2
2019-04-02 13:33:17 status half-installed python-gencpp:all 0.5.5-2
2019-04-02 13:33:18 status unpacked python-gencpp:all 0.5.5-2
